question_uid,parliament,session,question_number,question_sitting_day,question_date,question_title,asker_name,asker_riding,number_of_responses
39-1-32,39,1,32,22,2006-05-11,Corporate income tax loss,Ms. Wasylycia-Leis,Winnipeg North,1
39-1-33,39,1,33,24,2006-05-15,Arrangement for the Transfer of Detainees (Canada - Afghanistan),Ms. Black,New Westminster—Coquitlam,2
39-1-34,39,1,34,25,2006-05-16,Hopper car fleet,Mr. Scheer,Regina—Qu'Appelle,1
39-1-35,39,1,35,25,2006-05-16,Federal Ocean Energy Working Group,Mr. Casey,Cumberland—Colchester—Musquodoboit Valley,1
39-1-36,39,1,36,25,2006-05-16,Detainee transfer agreement (Canada - United States),Mr. Marston,Hamilton East—Stoney Creek,1
39-1-37,39,1,37,26,2006-05-17,Encounters with Canada program,Mr. Angus,Timmins—James Bay,1
39-1-38,39,1,38,26,2006-05-17,General Agreement on Trade in Services (GATS),Mr. Angus,Timmins—James Bay,1
39-1-39,39,1,39,26,2006-05-17,Canadian television programming,Mr. Angus,Timmins—James Bay,1
39-1-40,39,1,40,26,2006-05-17,Promotional Canadian materials,Mr. Angus,Timmins—James Bay,1
39-1-41,39,1,41,26,2006-05-17,Committees reports on the status of women,Mrs. Mathyssen,London—Fanshawe,1
39-1-42,39,1,42,26,2006-05-17,Affordable housing,Mrs. Mathyssen,London—Fanshawe,1
39-1-43,39,1,43,27,2006-05-18,Student income tax,Mr. Regan,Halifax West,1
39-1-44,39,1,44,28,2006-05-25,Lease-purchase agreement for the RCMP headquarters,Mr. Dewar,Ottawa Centre,1
39-1-45,39,1,45,29,2006-05-29,Canada Mortgage and Housing Corporation,Ms. Chow,Trinity—Spadina,1
39-1-46,39,1,46,29,2006-05-29,Federal housing programs,Ms. Chow,Trinity—Spadina,1
39-1-47,39,1,47,29,2006-05-29,Affordable housing,Ms. Chow,Trinity—Spadina,1
39-1-48,39,1,48,29,2006-05-29,Spending on post-secondary education,Ms. Savoie,Victoria,1
39-1-49,39,1,49,29,2006-05-29,Funding for literacy initiatives,Ms. Savoie,Victoria,1
39-1-50,39,1,50,30,2006-05-30,Tuberculosis prevention funding,Ms. Keeper,Churchill,1
39-1-51,39,1,51,31,2006-05-31,Industrial and human wastes,Mr. Casey,Cumberland—Colchester—Musquodoboit Valley,1
39-1-52,39,1,52,32,2006-06-01,Off Campus Work Program,Ms. Folco,Laval—Les Îles,1
39-1-53,39,1,53,32,2006-06-01,Canadian International Development Agency funded foreign student visas,Ms. Folco,Laval—Les Îles,1
39-1-54,39,1,54,32,2006-06-01,Commonwealth Award Program foreign student visas,Ms. Folco,Laval—Les Îles,1
39-1-55,39,1,55,32,2006-06-01,Canadian International Development Agency funded foreign student visas,Ms. Folco,Laval—Les Îles,1
39-1-56,39,1,56,36,2006-06-07,Airport review,Mr. Holland,Ajax—Pickering,1
39-1-57,39,1,57,36,2006-06-07,"Employment at 5 Wing Goose Bay, Labrador",Mr. Russell,Labrador,1
39-1-58,39,1,58,36,2006-06-07,Government jobs in the National Capital Region,Mr. Nadeau,Gatineau,1
39-1-59,39,1,59,36,2006-06-07,Leases signed by the government in the National Capital Region,Mr. Nadeau,Gatineau,1
39-1-60,39,1,60,38,2006-06-09,Science and technology strategy,Mr. Fontana,London North Centre,1
39-1-61,39,1,61,39,2006-06-12,Atlantic Canada Opportunities Agency,Mr. Scott,Fredericton,1
39-1-62,39,1,62,39,2006-06-12,Atlantic Canada Opportunities Agency,Mr. Scott,Fredericton,1
39-1-63,39,1,63,39,2006-06-12,Highway upgrades in New Brunswick,Mr. Scott,Fredericton,1
39-1-64,39,1,64,39,2006-06-12,Project cost overruns,Mr. Scott,Fredericton,1
39-1-65,39,1,65,39,2006-06-12,Métis National Council of Women,Ms. Crowder,Nanaimo—Cowichan,1
39-1-66,39,1,66,39,2006-06-12,Salmon farming in British Columbia,Ms. Crowder,Nanaimo—Cowichan,1
39-1-67,39,1,67,40,2006-06-13,2005 World Police and Fire Games,Mr. Julian,Burnaby—New Westminster,1
39-1-68,39,1,68,40,2006-06-13,Affordable housing programs,Mrs. Mathyssen,London—Fanshawe,1
39-1-69,39,1,69,42,2006-06-15,Wind Power Production Incentive Program,Mr. St. Amand,Brant,1
39-1-70,39,1,70,42,2006-06-15,Contracts let to Morrison Hershfield,Mr. Cummins,Delta—Richmond East,1
39-1-71,39,1,71,44,2006-06-19,Climate change programs,Cullen,Etobicoke North,2
39-1-72,39,1,72,44,2006-06-19,Public transit,Cullen,Etobicoke North,1
39-1-73,39,1,73,44,2006-06-19,Liquefied natural gas terminals,Cullen,Etobicoke North,1
39-1-74,39,1,74,44,2006-06-19,Liquefied natural gas terminals,Cullen,Etobicoke North,1
39-1-75,39,1,75,45,2006-06-20,Depleted uranium and white phosphorus,Ms. Black,New Westminster—Coquitlam,1
39-1-76,39,1,76,45,2006-06-20,Government spending in Afghanistan,Ms. Black,New Westminster—Coquitlam,1
39-1-77,39,1,77,45,2006-06-20,Commercial Heritage Properties Incentive Fund,Ms. Savoie,Victoria,1
39-1-78,39,1,78,45,2006-06-20,"Pension Benefits Standards Act, 1985",Ms. Charlton,Hamilton Mountain,1
39-1-79,39,1,79,45,2006-06-20,Canada Access Grants and Canada Learning Bonds,Ms. Nash,Parkdale—High Park,1
39-1-80,39,1,80,45,2006-06-20,Skills training programs,Ms. Nash,Parkdale—High Park,1
39-1-81,39,1,81,45,2006-06-20,Financial support and incentives for post-secondary students,Ms. Nash,Parkdale—High Park,1
39-1-82,39,1,82,46,2006-06-21,Integrated Grain Processor's Co-operative,Mr. St. Amand,Brant,1
39-1-83,39,1,83,46,2006-06-21,Gas tax rebates,Mr. Valley,Kenora,1
39-1-84,39,1,84,46,2006-06-21,Supporting Communities Partnership Initiative,Mr. Ouellet,Brome—Missisquoi,1
39-1-85,39,1,85,46,2006-06-21,Goods and Services Tax,Mr. Christopherson,Hamilton Centre,1
39-1-86,39,1,86,46,2006-06-21,Biofuels Incentive Program,Mr. Christopherson,Hamilton Centre,1
39-1-87,39,1,87,46,2006-06-21,Committee on the Elimination of Discrimination against Women,Mrs. Mathyssen,London—Fanshawe,1
39-1-88,39,1,88,47,2006-09-14,Employment insurance,Mr. Duceppe,Laurier—Sainte-Marie,1
39-1-89,39,1,89,49,2006-09-19,Aboriginal Languages and Cultures Centre,Mr. Angus,Timmins—James Bay,1
39-1-90,39,1,90,49,2006-09-19,Afghanistan,Ms. Black,New Westminster—Coquitlam,1
39-1-91,39,1,91,49,2006-09-19,Press Gallery,Mr. Reid,Lanark—Frontenac—Lennox and Addington,1
39-1-92,39,1,92,55,2006-09-27,Band council elections,Ms. Crowder,Nanaimo—Cowichan,1
39-1-93,39,1,93,56,2006-09-28,Canada’s missions abroad,Ms. McDonough,Halifax,1
39-1-94,39,1,94,56,2006-09-28,Canada Mortgage and Housing Corporation,Ms. Priddy,Surrey North,1
39-1-95,39,1,95,59,2006-10-03,Status of Women Canada,Mrs. Mathyssen,London—Fanshawe,1
39-1-96,39,1,96,59,2006-10-03,Canada Mortgage and Housing Corporation,Mrs. Mathyssen,London—Fanshawe,1
39-1-97,39,1,97,59,2006-10-03,Fiscal imbalance,Mr. Paquette,Joliette,1
39-1-98,39,1,98,59,2006-10-03,Canada's financial situation,Mr. Paquette,Joliette,1
39-1-99,39,1,99,61,2006-10-05,Canada Mortgage and Housing Corporation,Mrs. Mathyssen,London—Fanshawe,1
39-1-100,39,1,100,62,2006-10-12,Child care,Ms. Chow,Trinity—Spadina,1
39-1-101,39,1,101,62,2006-10-12,Summer Career Placement Program,Ms. Chow,Trinity—Spadina,1
39-1-102,39,1,102,62,2006-10-12,Toronto Port Authority,Ms. Chow,Trinity—Spadina,1
39-1-103,39,1,103,62,2006-10-12,Tax Incentive Program,Mr. Paquette,Joliette,1
39-1-104,39,1,104,64,2006-10-17,Parliamentary Press Gallery Tribune,Mr. Reid,Lanark—Frontenac—Lennox and Addington,1
39-1-105,39,1,105,64,2006-10-17,Tomorrow Starts Today program,Ms. Charlton,Hamilton Mountain,1
39-1-106,39,1,106,49,2006-09-19,Afghanistan,Ms. Black,New Westminster—Coquitlam,2
39-1-107,39,1,107,49,2006-09-19,Afghanistan,Ms. Black,New Westminster—Coquitlam,1
39-1-108,39,1,108,49,2006-09-19,Afghanistan,Ms. Black,New Westminster—Coquitlam,2
39-1-109,39,1,109,68,2006-10-23,Afghanistan,Ms. Black,New Westminster—Coquitlam,1
39-1-110,39,1,110,70,2006-10-25,Youth Employment Strategy,Mr. Boshcoff,Thunder Bay—Rainy River,1
39-1-111,39,1,111,74,2006-10-31,Government spending on workplace skills,Ms. Savoie,Victoria,1
39-1-112,39,1,112,74,2006-10-31,Government spending on adult literacy,Ms. Savoie,Victoria,1
39-1-113,39,1,113,74,2006-10-31,Youth employment,Ms. Bonsant,Compton—Stanstead,1
39-1-114,39,1,114,74,2006-10-31,"Adult Learning, Literacy and Essential Skills Program",Ms. Bonsant,Compton—Stanstead,1
39-1-115,39,1,115,83,2006-11-20,Unpaid taxes on corporate profits,Ms. Wasylycia-Leis,Winnipeg North,1
39-1-116,39,1,116,84,2006-11-21,CF-18,Mr. Bouchard,Chicoutimi—Le Fjord,1
39-1-117,39,1,117,84,2006-11-21,Radar systems,Mr. Bagnell,Yukon,1
39-1-118,39,1,118,87,2006-11-24,Very Long Base Interferometry System,Cullen,Etobicoke North,1
39-1-119,39,1,119,88,2006-11-27,Explosive devices,Ms. McDonough,Halifax,1
39-1-120,39,1,120,90,2006-12-01,Medium to Heavy Lift Helicopter,Ms. Black,New Westminster—Coquitlam,1
39-1-121,39,1,121,93,2006-12-06,Canada Economic Development for Quebec Regions,Mr. Duceppe,Laurier—Sainte-Marie,2
39-1-122,39,1,122,93,2006-12-06,Leases on the government’s building inventory,Mr. Duceppe,Laurier—Sainte-Marie,1
39-1-123,39,1,123,93,2006-12-06,Passport Canada,Mr. Martin,Sault Ste. Marie,1
39-1-124,39,1,124,94,2006-12-07,Canada Mortgage and Housing Corporation,Ms. Black,New Westminster—Coquitlam,1
39-1-125,39,1,125,95,2006-12-08,Canada Mortgage and Housing Corporation,Mr. Angus,Timmins—James Bay,1
39-1-126,39,1,126,95,2006-12-08,Canada Mortgage and Housing Corporation,Mr. Martin,Sault Ste. Marie,1
39-1-127,39,1,127,96,2006-12-11,Canada Mortgage and Housing Corporation,Ms. Charlton,Hamilton Mountain,1
39-1-128,39,1,128,96,2006-12-11,Canada Mortgage and Housing Corporation,Mr. Christopherson,Hamilton Centre,1
39-1-129,39,1,129,96,2006-12-11,Canada Mortgage and Housing Corporation,Ms. Wasylycia-Leis,Winnipeg North,1
39-1-130,39,1,130,97,2006-12-12,Canada Mortgage and Housing Corporation,Mr. Layton,Toronto—Danforth,1
39-1-131,39,1,131,97,2006-12-12,Human Resources and Social Development Canada,Mr. Martin,Sault Ste. Marie,1
39-1-132,39,1,132,97,2006-12-12,Humanitarian and reconstruction aid to Lebanon,Mr. Karygiannis,Scarborough—Agincourt,1
39-1-133,39,1,133,97,2006-12-12,Liberation Tigers of Tamil Eelam,Mr. Karygiannis,Scarborough—Agincourt,1
39-1-134,39,1,134,98,2007-01-25,National agency for the recognition of foreign credentials,Ms. Chow,Trinity—Spadina,1
39-1-135,39,1,135,98,2007-01-25,Toronto City Centre Airport,Ms. Chow,Trinity—Spadina,1
39-1-136,39,1,136,98,2007-01-25,Responsible Investment Policy,Ms. Wasylycia-Leis,Winnipeg North,1
39-1-137,39,1,137,98,2007-01-25,Excise and sales taxes on tobacco products,Ms. Wasylycia-Leis,Winnipeg North,1
39-1-138,39,1,138,98,2007-01-25,Canada Student Loans,Ms. Chow,Trinity—Spadina,1
39-1-139,39,1,139,98,2007-01-25,National Marine and Industrial Council,Mr. Julian,Burnaby—New Westminster,1
39-1-140,39,1,140,98,2007-01-25,Labour Market Development Agreements and Labour Market Partnership Agreements,Ms. Savoie,Victoria,1
39-1-141,39,1,141,98,2007-01-25,Government advertising,Mr. Karygiannis,Scarborough—Agincourt,1
39-1-142,39,1,142,98,2007-01-25,Northern Boundary and Transboundary Rivers Restoration and Enhancement Fund and the Southern Boundary Restoration and Enhancement Fund,Mr. Stoffer,Sackville—Eastern Shore,1
39-1-143,39,1,143,98,2007-01-25,"Funds, grants, loans and loan guarantees in the constituency of Sault Ste. Marie",Mr. Martin,Sault Ste. Marie,1
39-1-144,39,1,144,98,2007-01-25,Immigrant applications,Mr. Karygiannis,Scarborough—Agincourt,1
39-1-145,39,1,145,98,2007-01-25,"FedNor's funds, grants, loans and loan guarantees",Mr. Martin,Sault Ste. Marie,1
39-1-146,39,1,146,98,2007-01-25,"Funds, grants, loans and loan guarantees in the constituency of Timmins—James Bay",Mr. Angus,Timmins—James Bay,1
39-1-147,39,1,147,99,2007-01-29,Government aid to the Philippines,Mr. Karygiannis,Scarborough—Agincourt,1
39-1-148,39,1,148,99,2007-01-29,Canada Mortgage and Housing Corporation,Ms. Savoie,Victoria,1
39-1-149,39,1,149,99,2007-01-29,"Funds, grants, loans and loan guarantees in the constituency of Victoria",Ms. Savoie,Victoria,1
39-1-150,39,1,150,100,2007-01-30,"Funds, grants, loans and loan guarantees in the constituency of London—Fanshawe",Mrs. Mathyssen,London—Fanshawe,1
39-1-151,39,1,151,100,2007-01-30,"Funds, grants, loans and loan guarantees in the constituency of Ottawa Centre",Mr. Dewar,Ottawa Centre,1
39-1-152,39,1,152,100,2007-01-30,Temporary personnel services,Mr. Dewar,Ottawa Centre,1
39-1-153,39,1,153,102,2007-02-01,Canada Mortgage and Housing Corporation,Ms. Davies,Vancouver East,1
39-1-154,39,1,154,103,2007-02-02,First Nations housing,Ms. Keeper,Churchill,1
39-1-155,39,1,155,104,2007-02-05,Canada Student Loans Program,Ms. Chow,Trinity—Spadina,1
39-1-156,39,1,156,104,2007-02-05,Canada Post Corporation,Mr. Pallister,Portage—Lisgar,1
39-1-157,39,1,157,105,2007-02-06,"Funds, grants, loans and loan guarantees in the constituency of Trinity—Spadina",Ms. Chow,Trinity—Spadina,1
39-1-158,39,1,158,105,2007-02-06,"Funds, grants, loans and loan guarantees in the constituency of Hamilton East—Stoney Creek",Mr. Marston,Hamilton East—Stoney Creek,1
39-1-159,39,1,159,105,2007-02-06,Canada Student Loans Program,Ms. Chow,Trinity—Spadina,1
39-1-160,39,1,160,105,2007-02-06,Department of Canadian Heritage,Mr. Angus,Timmins—James Bay,1
39-1-161,39,1,161,105,2007-02-06,Immigrant Applications and Temporary Resident Visas,Mr. Karygiannis,Scarborough—Agincourt,1
39-1-162,39,1,162,106,2007-02-07,"Funds, grants, loans and loan guarantees in the constituency of Burnaby—Douglas",Mr. Siksay,Burnaby—Douglas,1
39-1-163,39,1,163,106,2007-02-07,Disaster relief in British Columbia,Mr. Martin,Esquimalt—Juan de Fuca,1
39-1-164,39,1,164,106,2007-02-07,SAR Buffalo aircraft,Mr. Martin,Esquimalt—Juan de Fuca,1
39-1-165,39,1,165,107,2007-02-08,Non-Insured Health Benefits Program,Mr. Valley,Kenora,1
39-1-166,39,1,166,107,2007-02-08,Use of aircraft by Transport Canada,Mr. Martin,Winnipeg Centre,1
39-1-167,39,1,167,107,2007-02-08,Defence procurement,Ms. Black,New Westminster—Coquitlam,1
39-1-168,39,1,168,107,2007-02-08,Canada Mortgage and Housing Corporation,Mr. Julian,Burnaby—New Westminster,1
39-1-169,39,1,169,110,2007-02-13,"Funds, grants, loans and loan guarantees in the constituency of Nanaimo—Cowichan",Ms. Crowder,Nanaimo—Cowichan,1
39-1-170,39,1,170,110,2007-02-13,Canada Mortgage and Housing Corporation,Ms. Crowder,Nanaimo—Cowichan,1
39-1-171,39,1,171,111,2007-02-14,Requests made under the Access to Information Act,Ms. Black,New Westminster—Coquitlam,1
39-1-172,39,1,172,111,2007-02-14,User Fees Act,Cullen,Etobicoke North,1
39-1-173,39,1,173,112,2007-02-15,Human Resources and Social Development Canada,Ms. Chow,Trinity—Spadina,1
39-1-174,39,1,174,115,2007-02-20,New Canadians from the Democratic People's Republic of Korea,Ms. Black,New Westminster—Coquitlam,1
39-1-175,39,1,175,116,2007-02-21,Requests from the Fishermen's Regress Committee,Ms. Bell,Vancouver Island North,1
39-1-176,39,1,176,117,2007-02-22,"Funds, grants, loans and loan guarantees in the constituency of Ottawa Centre",Mr. Dewar,Ottawa Centre,1
39-1-177,39,1,177,119,2007-02-26,Special examination of the National Capital Commission,Mr. Dewar,Ottawa Centre,1
39-1-178,39,1,178,119,2007-02-26,Agricultural initiatives between Canada and Afghanistan,Mr. Atamanenko,British Columbia Southern Interior,1
39-1-179,39,1,179,119,2007-02-26,Canada Mortgage and Housing Corporation,Mr. Atamanenko,British Columbia Southern Interior,1
39-1-180,39,1,180,119,2007-02-26,"Funds, grants, loans and loan guarantees in the constituency of Vancouver Island North",Ms. Bell,Vancouver Island North,1
39-1-181,39,1,181,120,2007-02-27,Tsawwassen Territory,Mr. Cummins,Delta—Richmond East,0
39-1-182,39,1,182,120,2007-02-27,"Funds, grants, loans and loan guarantees in the constituency of London—Fanshawe",Mrs. Mathyssen,London—Fanshawe,1
39-1-183,39,1,183,121,2007-02-28,Deh Cho First Nations,Mr. Bevington,Western Arctic,1
39-1-184,39,1,184,122,2007-03-01,Tsawwassen Territory waters,Mr. Cummins,Delta—Richmond East,0
39-1-185,39,1,185,122,2007-03-01,Meetings on Afghanistan,Ms. Black,New Westminster—Coquitlam,0
39-1-186,39,1,186,125,2007-03-20,Human Resources and Social Development Canada,Mr. Siksay,Burnaby—Douglas,1
39-1-187,39,1,187,125,2007-03-20,Canada Mortgage and Housing Corporation,Mr. Siksay,Burnaby—Douglas,1
39-1-188,39,1,188,127,2007-03-22,Toronto Port Authority,Ms. Chow,Trinity—Spadina,1
39-1-189,39,1,189,132,2007-03-29,Roberts Bank port,Mr. Cummins,Delta—Richmond East,0
39-1-190,39,1,190,132,2007-03-29,Fisheries and Oceans Canada,Mr. Cummins,Delta—Richmond East,0
39-1-191,39,1,191,132,2007-03-29,Flight Information Centre in Yellowknife,Mr. Bevington,Western Arctic,1
39-1-192,39,1,192,136,2007-04-18,Families,Ms. Chow,Trinity—Spadina,1
39-1-193,39,1,193,137,2007-04-19,Services provided to the Prime Minister’s Office,Ms. Wasylycia-Leis,Winnipeg North,1
39-1-194,39,1,194,139,2007-04-23,Renewable fuels policies,Mr. Atamanenko,British Columbia Southern Interior,1
39-1-195,39,1,195,139,2007-04-23,Pet food recall,Mr. Atamanenko,British Columbia Southern Interior,1
39-1-196,39,1,196,139,2007-04-23,Canadian private broadcasters,Mr. Angus,Timmins—James Bay,1
39-1-197,39,1,197,139,2007-04-23,Canadian private broadcasters,Mr. Angus,Timmins—James Bay,1
39-1-198,39,1,198,140,2007-04-24,Icebreakers Terry Fox and Louis St. Laurent,Mr. Stoffer,Sackville—Eastern Shore,1
39-1-199,39,1,199,141,2007-04-25,Immigration,Mr. Siksay,Burnaby—Douglas,1
39-1-200,39,1,200,142,2007-04-26,Port divestiture program,Mr. Laframboise,Argenteuil—Papineau—Mirabel,1
39-1-201,39,1,201,142,2007-04-26,Canada Economic Development for Quebec Regions,Mr. Roy,Haute-Gaspésie—La Mitis—Matane—Matapédia,1
39-1-202,39,1,202,143,2007-04-27,Passport Canada,Ms. McDonough,Halifax,1
39-1-203,39,1,203,143,2007-04-27,United Nations Economic and Social Council,Ms. McDonough,Halifax,1
39-1-204,39,1,204,144,2007-04-30,Detainees in Afghanistan,Ms. Black,New Westminster—Coquitlam,1
39-1-205,39,1,205,145,2007-05-01,Bill C-288,Ms. Brunelle,Trois-Rivières,1
39-1-206,39,1,206,145,2007-05-01,Portrait Gallery,Mr. Dewar,Ottawa Centre,1
39-1-207,39,1,207,149,2007-05-07,Multiculturalism Program,Ms. Beaumier,Brampton West,0
39-1-208,39,1,208,149,2007-05-07,Pine Beetle infestation,Mr. Cullen,Skeena—Bulkley Valley,0
39-1-209,39,1,209,150,2007-05-08,Department of Indian and Northern Affairs' spending,Ms. Neville,Winnipeg South Centre,0
39-1-210,39,1,210,150,2007-05-08,Canada Mortgage and Housing Corporation,Mr. Marston,Hamilton East—Stoney Creek,0
39-1-211,39,1,211,150,2007-05-08,Human Resources and Social Development Canada,Mr. Marston,Hamilton East—Stoney Creek,0
39-1-212,39,1,212,150,2007-05-08,Government jobs in the National Capital Region,Mr. Nadeau,Gatineau,0
39-1-213,39,1,213,150,2007-05-08,Leases signed by the government in the National Capital Region,Mr. Nadeau,Gatineau,0
39-1-214,39,1,214,151,2007-05-09,Ministerial travel and hospitality expenses,Mr. Godin,Acadie—Bathurst,0
39-1-215,39,1,215,158,2007-05-24,Summer Career Placement Program and Canada Summer Jobs program,Ms. Savoie,Victoria,0
39-1-216,39,1,216,158,2007-05-24,Human Resources and Social Development Canada,Ms. Savoie,Victoria,0
39-1-217,39,1,217,158,2007-05-24,Canada Mortgage and Housing Corporation,Ms. Savoie,Victoria,0
39-1-218,39,1,218,158,2007-05-24,Human Resources and Social Development Canada,Ms. Savoie,Victoria,0
39-1-219,39,1,219,158,2007-05-24,Federal Economic Development Initiative for Northern Ontario,Mr. Martin,Sault Ste. Marie,1
39-1-220,39,1,220,158,2007-05-24,Immigrant Applications and Temporary Resident Visas,Mr. Karygiannis,Scarborough—Agincourt,0
39-1-221,39,1,221,159,2007-05-28,Summer Career Placement Program and Canada Summer Jobs program,Mr. Martin,Sault Ste. Marie,0
39-1-222,39,1,222,160,2007-05-29,Immigrant applications,Mr. Karygiannis,Scarborough—Agincourt,0
39-1-223,39,1,223,160,2007-05-29,Universal Child Care Benefit,Ms. Chow,Trinity—Spadina,0
39-1-224,39,1,224,161,2007-05-30,Export of bulk water and intra-basin diversions,Ms. Bell,Vancouver Island North,0
39-1-225,39,1,225,161,2007-05-30,Raw log exports,Ms. Bell,Vancouver Island North,0
39-1-226,39,1,226,161,2007-05-30,Sport Utility Vehicles procurement,Mr. Cullen,Skeena—Bulkley Valley,0
39-1-227,39,1,227,161,2007-05-30,Federal Economic Development Initiative for Northern Ontario,Mr. Martin,Sault Ste. Marie,0
39-1-228,39,1,228,161,2007-05-30,Security and Prosperity Partnership of North America,Mr. Julian,Burnaby—New Westminster,0
39-1-229,39,1,229,161,2007-05-30,Asia-Pacific Gateway and Corridor Initiative,Mr. Julian,Burnaby—New Westminster,0
39-1-230,39,1,230,161,2007-05-30,Landmines and cluster munitions in Afghanistan,Ms. McDonough,Halifax,0
39-1-231,39,1,231,161,2007-05-30,Canada's engagement in Sudan,Ms. McDonough,Halifax,0
39-1-232,39,1,232,161,2007-05-30,Krill fishery,Ms. Crowder,Nanaimo—Cowichan,0
39-1-233,39,1,233,161,2007-05-30,Commuter rail service,Ms. Crowder,Nanaimo—Cowichan,0
39-1-234,39,1,234,161,2007-05-30,Third Party Management system for First Nations,Ms. Crowder,Nanaimo—Cowichan,0
39-1-235,39,1,235,161,2007-05-30,Aboriginal land claims,Ms. Crowder,Nanaimo—Cowichan,0
39-1-236,39,1,236,162,2007-05-31,Automatic teller machine fees,Ms. Wasylycia-Leis,Winnipeg North,0
39-1-237,39,1,237,162,2007-05-31,Homelessness Partnership Strategy,Mrs. Mathyssen,London—Fanshawe,0
39-1-238,39,1,238,162,2007-05-31,Canada’s immigration system,Ms. Chow,Trinity—Spadina,0
39-1-239,39,1,239,162,2007-05-31,Funds at the discretion of Ministers of Crown,Mr. Marston,Hamilton East—Stoney Creek,0
39-1-240,39,1,240,162,2007-05-31,Optional Protocol to the Convention Against Torture,Mr. Marston,Hamilton East—Stoney Creek,0
39-1-241,39,1,241,162,2007-05-31,Toronto waterfront,Ms. Chow,Trinity—Spadina,0
39-1-242,39,1,242,162,2007-05-31,Climate change,Mr. Cullen,Skeena—Bulkley Valley,0
39-1-243,39,1,243,162,2007-05-31,Climate change and environmental legislation,Mr. Cullen,Skeena—Bulkley Valley,0
39-1-244,39,1,244,162,2007-05-31,Tax laws,Ms. Wasylycia-Leis,Winnipeg North,0
39-1-245,39,1,245,163,2007-06-01,Cormorant Helicopters,Ms. Black,New Westminster—Coquitlam,0
39-1-246,39,1,246,163,2007-06-01,British Columbia coastline,Ms. Bell,Vancouver Island North,0
39-1-247,39,1,247,164,2007-06-04,Barley plebiscite,Mr. Atamanenko,British Columbia Southern Interior,0
39-1-248,39,1,248,164,2007-06-04,Lake Superior,Mr. Martin,Sault Ste. Marie,0
39-1-249,39,1,249,164,2007-06-04,National energy strategy,Mr. Bevington,Western Arctic,0
