question_uid,parliament,session,response_sitting_day,question_number,asker_name,responder_name,response_content
40-2-530,40,2,125,530,Hon. Judy Sgro,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  530 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-531,40,2,125,531,Hon. Judy Sgro,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  531 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-532,40,2,125,532,Hon. Judy Sgro,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  532 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-537,40,2,125,537,Hon. Dominic LeBlanc,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  537 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-543,40,2,125,543,Mr. Mario Silva,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  543 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-544,40,2,125,544,Mr. Mario Silva,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  544 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-545,40,2,125,545,Mr. Mario Silva,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  545 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-546,40,2,125,546,Mr. Mario Silva,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  546 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-554,40,2,125,554,Mr. Pablo Rodriguez,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  554 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-555,40,2,125,555,Mr. Pablo Rodriguez,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  555 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-556,40,2,125,556,Mr. Pablo Rodriguez,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  556 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-557,40,2,125,557,Mr. Pablo Rodriguez,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  557 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-563,40,2,125,563,Hon. John McCallum,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  563 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-577,40,2,125,577,Mr. Brian Murphy,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  577 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-578,40,2,125,578,Mr. Brian Murphy,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No. 578 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-2-579,40,2,125,579,Mr. Brian Murphy,"Hon. Christian Paradis (Minister of Public Works and Government Services, CPC)","Mr. Speaker, Question No.  579 is similar to 34 other questions. The information requested in these questions was previously requested in Question No. 395, tabled on September 14, 2009, Debates, Volume 144, No. 080, page 4940. Breaking up that larger question into smaller questions does not alter the government’s response to the original question. The data required to adequately respond to these questions is contained on more than 27,000 pages of raw data. To answer these questions as posed would require a second level of sorting and a manual search through a combination of electronic and paper archives to attribute each purchase to a particular campaign. In addition, the data is available in the original language only and it is not possible to produce and translate this information in the time period required. The Government of Canada produces an advertising annual report which provides information on the process used to manage government advertising, annual expenditures, and the major campaigns undertaken to support government priorities.These annual reports are available at the following link: http://www.tpsgc-pwgsc.gc.ca/pub-adv/annuel-annual-fra.html."
40-3-42,40,3,9,42,Ms. Martha Hall Findlay,"Mr. Tom Lukiwski (Parliamentary Secretary to the Leader of the Government in the House of Commons, CPC)","Mr. Speaker, under the Public Servants Disclosure Protection Act, the Office of the Public Sector Integrity Commissioner was established in 2007 as an agent of Parliament, independent of the Government of  Canada. The role of the commissioner is to maintain and enhance public confidence in the integrity of public servants and public institutions by establishing effective procedures for the disclosure of wrongdoings and for protecting public servants who disclose wrongdoings. As a result, the information requested is not available within the Government of Canada. However, information on the number of disclosures and complaints made to the commissioner and investigated by her is contained in the commissioner’s annual reports for 2007-08 and 2008-09 which were tabled in Parliament and published on the commissioner’s website. Information for fiscal year 2009-10 will be provided in the commissioner’s next annual report due to be tabled in Parliament by June 30, 2010."
40-3-10,40,3,22,10,Hon. Marlene Jennings,"Hon. John Baird (Minister of Transport, Infrastructure and Communities, CPC)","Mr. Speaker, the response is as follows: (a) During the December 1998 Airport Soundscape Consultative Committee, it was decided that the approach path angle for runway 06L was to be increased to 3 degrees from 2.5 degrees, thus ensuring that aircraft are at a higher altitude while flying over Dorval and Pointe-Claire.  Since February 1999, turbojets departing runway 24R must climb to 4000 feet before turning right. This higher altitude, compared to the previous 3000 feet, results in noise reduction of 3 dBA for the Beaconsfield and Pointe-Claire residents.  In 1999, in order to increase the altitude at which Boeing 747 fly over residential areas, the operators of those aircraft were advised to review their operational procedures to ensure a minimum rate of climb at take off.  In 1999, the preferential runway for night landings was changed to 06R instead of 24R. By flying over Lake St-Louis instead of over the residential areas of Montreal and Ville St-Laurent, fewer residents are affected by the noise.  Starting April 1st, 2000, exemptions to restricted hours were not granted for delays due to mechanical defects.  In June 2000, amendments to the general aviation flight takeoff procedures were made so that departing aircraft operating between 11 p.m. and 7 a.m. and flying over industrial areas would avoid Montreal’s residential areas.  In 2000, implementation of a noise awareness program for air traffic controllers was put into place.  In March 2001, a new exemption program to restrict hours of operation for mechanical problems was introduced. This program only applies to chapter 3 aircraft, the most modern and quieter types, and allows the operators to extend their operating hours by one hour in case of real and documented problems. An annual quota was established at 200 exemptions, which will be prorated according to each airline’s movements. This procedure gives greater flexibility to airlines without increase in the total noise footprint.In 2003, changes were made to the preferential runway procedure for day flights. Until then, with westerly winds, jets were taking off on runway 24L and landing on 24R, causing noise disturbances to a group of Dorval’s residents. The procedure was therefore changed to allow a number of take offs from 24R.  In September 2006, a new preferential runway system was implemented for night flights.  When there are favourable winds, departures take place in priority from runway 06L, followed by a left turn over highway 13; and landings take place on runway 06R. Residents of South Dorval, who were usually overflown by departing aircraft between 11:00 p.m. and 07:00 a.m., are now overflown by landing aircraft and Cartierville residents are overflown by departing aircraft.  On February 9, 2009, since two of the performance criteria were not met, the historical priority runway system that was in effect prior to September 2006, ascribing priority to Runways 24 between midnight and 7 a.m., takeoffs and landings toward Lake St-Louis, was reinstated.(b) After the implementation of the February 1999 procedure requiring that turbojets departing runway 24R climb to 4000 feet before turning right, studies have shown a reduction of 3dBA for residents living under the flight path.According to Aéroport de Montréal’s annual report published in May 2009, “the most recent Noise Exposure Contour NEF 25 shows that the noise footprint at Montreal/Trudeau was 32.3 km² in size in 2007, representing a 60% decrease from 1995. During the same period, the number of residents living under the noise footprint has decreased by 83%, from 107,333 to 17,902. Airlines retiring older and noisier chapter 2 aircraft and replacing them with a new generation of modern, quieter and better performing airplanes and the implementation of noise abatement procedures are the factors that contributed the most to this improvement.”The noise exposure forecast, NEF, mentioned in Aéroport de Montréal’s report is produced to encourage compatible land use planning in the vicinity of airports. A NEF 25 contour represents the area within which Transport Canada does not support or advocate residential housing."
40-3-12,40,3,22,12,Hon. Marlene Jennings,"Hon. Gerry Ritz (Minister of Agriculture and Agri-Food and Minister for the Canadian Wheat Board, CPC)","Mr. Speaker, the response is as follows:

(a)	 No applications have ever come forward for the regulatory approval of any plants, including canola, with GURT traits in Canada. 
(b)	Plants with GURT traits, including canola, have neither been planted in research field trials nor commercialized in Canada."
40-3-52,40,3,22,52,Mr. Sukh Dhaliwal,"Hon. James Moore (Minister of Canadian Heritage and Official Languages, CPC)","Mr. Speaker, the 2010 winter games provided a rare opportunity to further domestic, international and business relations and to showcase Canada to the world.In accordance with the terms of the multiparty agreement signed by the previous Liberal government in 2002, 2010 winter games partners, including the Government of Canada, GoC, and other government partners in the games had advance access to purchase 2010 Olympic and Paralympic winter games tickets at face value.  The government has made it mandatory that all members of parliament, House of Commons and Senate, pay for their own tickets.  The cost of these tickets will be fully cost-recovered by the Department of Canadian Heritage.Tickets were paid for by the ticket holders, not the Canadian taxpayer."
40-3-35,40,3,23,35,Hon. Dominic LeBlanc,"Hon. Gail Shea (Minister of Fisheries and Oceans, CPC)","Mr. Speaker, the answer is as follows:
     a)   The Government of Canada has increased first nations access to the bluefin tuna fishery through the Marshall response initiative by acquiring approximately 55 commercial licences and providing them to first nations groups.  The bluefin tuna licence is just one part of a package of licences that also includes other species such as lobster, crab, or scallops, aimed at providing first nations with a means to achieve a moderate livelihood from the fishery. 
b)   First nations licence holders in the bluefin tuna fishery receive fair and reasonable access.  The Department of Fisheries and Oceans has worked with the various inshore fleets to ensure that first nations licence holders are integrated into the fleet, can provide input into the fleets fishing plan, and have the same access to the fishery as all other commercial licence holders in the fleet.       c)   While the Gulf New Brunswick inshore bluefin tuna fleet did receive an increase in its allocation a couple of years ago to assist with the integration of first nations license holders, there are no further changes expected for the 2010 fishing season."
40-3-19,40,3,25,19,Hon. Larry Bagnell,"Hon. Chuck Strahl (Minister of Indian Affairs and Northern Development, Federal Interlocutor for Métis and Non-Status Indians and Minister of the Canadian Northern Economic Development Agency, CPC)","Mr. Speaker, the answer is as follows:a) Canada’s economic action plan provided Indian and Northern Affairs Canada, INAC, with $2 million to undertake a feasibility study for the proposed High Arctic Research Station, which will lever existing research infrastructure by serving as the hub for scientific activity in Canada's vast and diverse Arctic region. The feasibility study will be led by INAC with support from Public Works and Government Services Canada and private contractors. Contracting opportunities will be publicly advertised. The feasibility study will establish the functions of the facility; outline the preliminary project costs and schedule to build it; and, provide an analysis of the location options. It will also set out the operational requirements necessary for the facility to become a hub of research activities in Canada's North. The feasibility study is the first phase in the realization of the High Arctic Research Station and is expected to be completed by the fall of 2010. This study will provide information and analysis necessary to inform the next stages of the process, namely, the designing, building and then operation of the station.As part of the process for developing the feasibility study, INAC will be engaging stakeholders through a variety of means. INAC initiated community consultations and the analysis of stakeholder needs in the spring of 2009. This has included consultations with each of the three candidate communities and the creation of the High Arctic Research Station experts and users group composed of representatives from the North, academia, the private sector as well as the federal and territorial governments. Through this engagement, components of the feasibility study are being developed.Budget 2010 is taking a further step by providing $18 million over five years to INAC to commence the pre-construction design phase for the station. This phase will produce an initial design concept for the platform, including green building options and how the station fits into the community. Upon concept approval, the design firm will develop detailed design and material specifications, floor plans, telecommunication strategies, and detailed cost and scheduling estimates for both the construction and operation phases. They will develop all required construction tender documents. The outcomes of the pre-construction design phase will form the basis for the construction and operation phases of the new station.b) On February 20, 2009, INAC announced the three locations being considered for Canada's new High Arctic Research Station. Communities being considered are: Cambridge Bay, Pond Inlet and Resolute Bay, all of which are in Nunavut. As part of the feasibility study, INAC has been engaged in community consultations with each of the three candidate communities since the summer of 2009.c) As part of the feasibility study, work currently being carried out will help to determine preliminary costs for the High Arctic Research Station. No decisions have been taken on the costs of the facility.d) As the High Arctic Research Station project is currently in the feasibility study phase, no decisions have been taken on who will be engaged in the design, architectural or construction work associated with the station. The contracting opportunities for such work will be publicly advertised.e) Part of the current analysis being undertaken within the feasibility study is to determine preliminary estimates for the ongoing costs associated with operating the High Arctic Research Station.f) No decisions have been taken regarding the size of the staff for the facility.g) Analysis being undertaken as part of the feasibility study with regard to the building and designing of the High Arctic Research Station will help to determine the possible date for when the facility will open. No decisions have been taken on the expected date that the station will open.h) Governance options for the High Arctic Research Station are being considered as part of the feasibility study. No decisions have been taken on who will head the High Arctic Research Station"
40-3-49,40,3,25,49,Ms. Siobhan Coady,"Mrs. Sylvie Boucher (Parliamentary Secretary for Status of Women, CPC)","Mr. Speaker, in regard to part a) of the question, the Privy Council Office, PCO, coordinates communications for the implementation of the economic action plan, EAP. However, departments and agencies are responsible for the execution and funding of EAP projects, including signage. As part of this role, PCO monitors progress on the installation of signage. As of the week ending March 5, 2010, 5,337 signs have been installed across Canada. 

          In regard to parts (b) and (c) of the question, the costs for signs vary widely depending on a number of factors, including the type, size, location for installation or the availability of bulk purchasing. For the majority of EAP projects, signage is part of the agreements negotiated by the Government of Canada with its partners—the provinces, territories and municipalities. The costs for signs are also covered by the same agreements, where project partners share the cost of the signs. Moreover, signage costs are often included in overall project costs in the same way as engineering, construction supplies, fencing and other expenses. A separate budget is not identified for such signs, and so, determining costs for signage would be a difficult and lengthy exercise. This work would also require federal-provincial-municipal discussions and would result in incomplete and unreliable information given that total costs will not be available until all invoices are received. Detailed accounting for all Government of Canada expenditures will be available through the Public Accounts of Canada."
40-3-13,40,3,26,13,Hon. Marlene Jennings,"Hon. Leona Aglukkaq (Minister of Health, CPC)","Mr. Speaker, the response is as follows:
a)	The World Health Organization has recognized Canada as a leader in pandemic preparedness and one of the first countries in the world to put in place a domestic contract for pandemic influenza vaccine production.
Since 2001, the Government of Canada has had a 10-year contract in place with ID Biomedical, now GlaxoSmithKline (GSK) Biologicals, to assure a state of pandemic readiness in case of an influenza pandemic and to supply Canada with pandemic influenza vaccine on a priority basis.  Under this contract, GSK is required to develop and maintain a production capacity in Canada of a minimum of eight million doses of pandemic vaccine per month for four months, enough to immunize all Canadians.The H1N1 pandemic vaccines were produced at GSK’s manufacturing facility in Ste-Foy, Quebec.  GSK supplied Canada with enough doses of the pandemic vaccine to meet domestic requirements.b)	Under the vaccine contract, GSK is required to distribute pandemic vaccine from its manufacturing site to specified depots as identified by provinces and territories."
40-3-20,40,3,26,20,Hon. Larry Bagnell,"Hon. Christian Paradis (Minister of Natural Resources, CPC)","Mr. Speaker, the report “From Impacts to Adaptation: Canada in a Changing Climate 2007”, coordinated by Natural Resources Canada and published on March 7, 2008, is a comprehensive scientific assessment of climate change impacts and adaptation in Canada.  The goal of the report was to provide a state-of-the-science synthesis that identified important climate change impacts in Canada and to provide a knowledge foundation for adaptation decision-making.  Since publication of “From Impacts to Adaptation: Canada in a Changing Climate 2007”, the Government of Canada through various departments and agencies has undertaken a number of initiatives to improve its knowledge of the economic costs of both climate change impacts and of adaptation. These on-going initiatives include: 1.	Natural Resources Canada’s “Guidance on the Economics of Adaptation” project which will provide practical guidelines to better i) understand and assess the economic threats and opportunities presented by climate change and ii) cost, prioritize and sequence adaptation strategies into plans and budgets in a context of uncertainty and competing needs.  2.	Environment Canada’s examination of approaches to estimating and forecasting the economic impacts of climate change which will focus initially on the economic impacts on Canadian space heating and cooling expenditures, agriculture production, and costs associated with sea level rise. 3.	The National Roundtable on the Environment and Economy’s “Economic Risks and Opportunities of Climate Change” program which includes research to estimate sector-specific costs of climate change impacts and the role of adaptation in reducing costs, focussing on public infrastructure, human health, forestry, and coastal zones. In addition to this work on methodologies and cross-sectoral analysis, many federal departments are now looking at the economic costs of climate change impacts and adaptation as part of their own risk management processes.One of the key findings of  “Canada in a Changing Climate” was that a wide range of players are involved in adaptation decision-making, including all levels of government, the private sector, and individuals / community organizations. Hence additional work on the economic costs of adaptation is being undertaken by provincial and territorial governments, municipalities, resource managers, etc. Natural Resources Canada has developed a new regional adaptation collaborative, RAC, program to help advance adaptation decision-making across Canada by drawing together a diverse array of public and private stakeholders and focusing on the development of guidance and best practices, including economic analysis.  The program will support focussed collaboration at the regional level among government, non-government decision-makers, and technical experts to facilitate regional adaptation planning and decision-making. More information can be found at www.adaptation.nrcan.gc.ca."
40-3-21,40,3,26,21,Hon. Larry Bagnell,"Hon. Jim Prentice (Minister of the Environment, CPC)","Mr. Speaker, consistent with the government’s commitment to harmonize Canada’s approach to climate change with that of the United States in the interest of both our environment and our economy, Canada has inscribed a target of a 17% reduction in greenhouse gas emission from 2005 levels by 2020.  This is the same target inscribed by the United States.The answers to these questions will ultimately be the product of decisions made by the Government of Canada regarding regulatory action to reduce emissions.  Although the government has signaled its intention to move forward on harmonizing its efforts with the approach taken by the United States, the details regarding how the system will work have not yet been established.  Consequently, the government is not in a position to answer these questions at this time.  However, the government is continuing to work on developing a plan for meeting the 2020 reduction targets."
40-3-30,40,3,26,30,Hon. John McKay,"Hon. Peter Van Loan (Minister of International Trade, CPC)","Mr. Speaker, the following response is accurate as of March 31, 2010:

a) With regard to an official office space that is accessible to the public and space for the counsellor’s staff, Public Works and Government Services Canada has identified space for the Office of the Extractive Sector Corporate Social Responsibility Counsellor at the Dominion Building, 1, Front Street West, 5th Floor, Suite 5110, Toronto, ON, M5J 2X5.  The office is currently operational and was opened to the public and other stakeholders on March 08, 2010.   
b) With regard if an office has been provided, where it is located and precisely which offices have been allocated at the given address, the office is located on the 5th floor, suite 5110, 1 Front Street West, Toronto, Ontario.c) With regard if staff have been provided, how many staff does the counsellor have and what are their functions, the counsellor will be supported by two staff. An administrative assistant has been hired.  The counsellor is working to fill the senior policy advisor position. 
d) With regard to what the budget is for the counsellor’s office and staff, the budget of the Office of the Extractive Sector Corporate Social Responsibility Counsellor is $654,240 per year, including salaries, travel and other operational expenses.e) With regard if the counsellor has yet received any complaints in relation to counsellor’s mandate, no. The review process outlined in the Order in Council to create the Office of the Extractive Sector Corporate Social Responsibility Counsellor needs to be developed further into a comprehensive and detailed process that is fair, transparent and credible. Early outreach and dialogue conducted by the counsellor with a wide-ranging set of stakeholders indicates that the process used to construct the review mechanism and the rules of procedure must be inclusive, participatory, transparent and multi-stakeholder. The counsellor has begun to construct the framework and methodology and will soon be conducting formal consultations with stakeholders to develop the review mechanism.

f) With regard to why there is no clear and user-friendly information on the government’s Foreign Affairs and International Trade website to assist Canadians in contacting the CSR counsellor, the counsellor is in the process of developing a website for the office with website address at www.international.gc.ca/csr-counsellor. In addition, the counsellor’s contact information can be found at Department of Foreign Affairs and International Trade’s Corporate Social Responsibility website at www.csr.gc.ca.

g) With regard to the email address, fax number, phone number and address for the current counsellor, the current contact information for Dr. Marketa Evans is email: marketa.evans@international.gc.ca; telephone: 416 973 2064; fax: to be installed shortly; address: Dominion Building, 1, Front Street West, 5th Floor, Suite 5110, Toronto, ON, M5J 2X5.  

h) With regard if an office and staff have not yet been provided, from where is the current counsellor working and how is she undertaking her responsibilities as mandated by the order in council, the office of the counsellor is operational at present?  Since the counsellor began work on October 19th, she has met with numerous stakeholders, participated in various conferences, workshops and seminars, including discussions with the UN Special Representative of the Secretary General on human rights and transnational corporations and other business enterprises. Her activities have necessarily focused on her engagement with stakeholders as they will have an integral role to play in assisting her to develop a robust review mechanism that is fair, transparent and credible. 

i)With regard if an office and staff have not yet been provided to the counsellor, when does the minister expect to provide them, and if they have been provided, on what date were they procured? The counsellor’s office located at Dominion Building, 1, Front Street, 5th Floor, Suite 5110 is operational.  Staffing process has been partially filled with the hiring of the administrative assistant. The counsellor is working to fill the senior policy advisor position."
